Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
Christian McCaffrey,CAR,NYJ,RB,9500,24.8,3,26,18522495,35.4
Teddy Bridgewater,DEN,NYG,QB,4800,18,3,4.5,18522432,22.9
Josh Allen,BUF,PIT,QB,7400,25.7,2.9,15.5,18522405,38.5
Stefon Diggs,BUF,PIT,WR,7600,20.5,2.5,19,18522863,30.8
Sam Darnold,CAR,NYJ,QB,5000,18,2.5,4,18522428,26.3
Jalen Hurts,PHI,ATL,QB,6400,22.3,2.5,10,18522411,31.9
Joe Mixon,CIN,MIN,RB,6200,17.7,2.4,23,18522523,24.4
Dalvin Cook,MIN,CIN,RB,9100,23.3,2.3,17,18522497,32.4
Najee Harris,PIT,BUF,RB,6300,17.7,2.3,12.3,18522521,23.4
Tee Higgins,CIN,MIN,WR,4700,14.5,2.2,22,18522933,21.1
Alvin Kamara,NO,GB,RB,8600,22.1,2.1,18,18522501,30.1
A.J. Brown,TEN,ARI,WR,7100,19,2,15,18522867,29.9
Davante Adams,GB,NO,WR,8300,21.3,1.9,16,18522853,30.5
Tyreek Hill,KC,CLE,WR,8200,21.1,1.9,8.2,18522855,31.6
Mac Jones,NE,MIA,QB,4400,15.7,1.9,2.3,18522437,22.8
Falcons ,ATL,PHI,DST,2000,6.9,1.9,34.8,18523850,11.7
Tyler Boyd,CIN,MIN,WR,5200,15.1,1.8,9.8,18522913,22
Marquez Callaway,NO,GB,WR,3400,11.4,1.6,26,18523009,16.3
Calvin Ridley,ATL,PHI,WR,7900,20.1,1.5,16,18522857,29.7
Russell Wilson,SEA,IND,QB,7000,23.1,1.5,4.3,18522406,32.9
Antonio Gibson,WAS,LAC,RB,5900,16.2,1.5,14.9,18522527,23.3
Joe Burrow,CIN,MIN,QB,5700,19.1,1.4,6,18522417,27.9
Ryan Tannehill,TEN,ARI,QB,6500,21.5,1.4,2.8,18522410,31.3
Ryan Fitzpatrick,WAS,LAC,QB,5500,18.5,1.4,4,18522419,26.5
Rondale Moore,ARI,TEN,WR,3000,10.3,1.3,11.7,18523323,16.1
Matt Ryan,ATL,PHI,QB,6000,19.9,1.3,5,18522415,28.3
Zach Wilson,NYJ,CAR,QB,5000,16.9,1.3,2,18522429,24
Jerry Jeudy,DEN,NYG,WR,4800,13.7,1.2,7,18522927,19.6
Aaron Jones,GB,NO,RB,6800,17.7,1.2,12.7,18522513,25.1
Patrick Mahomes,KC,CLE,QB,8100,26.2,1.2,10,18522403,36.7
Derrick Henry,TEN,ARI,RB,8800,21.6,1.2,14,18522499,30.1
Terry McLaurin,WAS,LAC,WR,6400,16.9,1.2,7.5,18522879,24.4
DeAndre Hopkins,ARI,TEN,WR,7800,19.5,1.1,12,18522859,28.7
Mike Davis,ATL,PHI,RB,5400,14.8,1.1,16,18522537,21.7
Marvin Jones Jr.,JAX,HOU,WR,3600,11.2,1.1,15.9,18522997,16.7
Kyler Murray,ARI,TEN,QB,7600,24.4,1,7.3,18522404,34.3
Texans ,HOU,JAX,DST,2100,6.2,1,15.1,18523847,10.6
Trevor Lawrence,JAX,HOU,QB,6200,20.1,0.9,4,18522413,29.1
Elijah Moore,NYJ,CAR,WR,3000,9.8,0.9,11.3,18523233,13.5
Jaylen Waddle,MIA,NE,WR,3600,10.9,0.8,12,18522995,15.4
George Kittle,SF,DET,TE,6300,16.2,0.8,19,18523485,25.5
Jets ,NYJ,CAR,DST,2400,6.5,0.8,9,18523842,11.2
Odell Beckham Jr.,CLE,KC,WR,5400,14.4,0.7,2.4,18522905,20.6
Tyler Lockett,SEA,IND,WR,6700,17,0.7,10.9,18522875,25.6
Jaguars ,JAX,HOU,DST,2700,7,0.7,1.7,18523838,11.8
Kyle Pitts,ATL,PHI,TE,4400,12.3,0.6,18.3,18523497,18.6
Tua Tagovailoa,MIA,NE,QB,5400,17.4,0.6,0.6,18522422,24.9
DJ Moore,CAR,NYJ,WR,6100,15.6,0.5,5.5,18522885,23.4
Terrace Marshall Jr.,CAR,NYJ,WR,3000,9.5,0.5,7.8,18523213,14.6
Travis Kelce,KC,CLE,TE,8300,20,0.5,16.1,18523483,30.2
Emmanuel Sanders,BUF,PIT,WR,4100,11.5,0.4,3,18522961,18
Aaron Rodgers,GB,NO,QB,6800,21.4,0.4,2.4,18522408,29.5
Tyrod Taylor,HOU,JAX,QB,5300,16.7,0.3,4.5,18522424,26
Chris Carson,SEA,IND,RB,5900,15,0.3,9.6,18522529,20.6
Broncos ,DEN,NYG,DST,3300,7.9,0.3,4.5,18523831,13
Robby Anderson,CAR,NYJ,WR,5700,14.5,0.2,3.7,18522893,21.4
Corey Davis,NYJ,CAR,WR,4900,12.9,0.2,7.5,18522923,18.4
Baker Mayfield,CLE,KC,QB,5900,18.4,0.1,0.6,18522416,26.4
Daniel Jones,NYG,DEN,QB,5300,16.5,0.1,1.5,18522423,22.4
DK Metcalf,SEA,IND,WR,7500,18,0.1,9,18522865,26.8
Lions ,DET,SF,DST,2200,5.5,0.1,4.5,18523846,9.7
Bills ,BUF,PIT,DST,2500,5.9,0,4.3,18523840,10.3
Chargers ,LAC,WAS,DST,3100,7.2,0,2.6,18523833,12.1
Dolphins ,MIA,NE,DST,2900,6.7,0,0.8,18523836,11.4
Titans ,TEN,ARI,DST,2300,5.6,0,1.8,18523844,9.9
Michael Pittman Jr.,IND,SEA,WR,4100,11,-0.1,8.7,18522959,16.1
Bengals ,CIN,MIN,DST,2000,4.9,-0.1,14.2,18523849,8.9
A.J. Green,ARI,TEN,WR,3800,10.3,-0.2,0.8,18522981,15.9
Laviska Shenault Jr.,JAX,HOU,WR,5000,12.7,-0.2,11.6,18522919,18.9
Justin Jefferson,MIN,CIN,WR,7700,18,-0.2,3.9,18522861,27.4
DeVonta Smith,PHI,ATL,WR,4500,11.7,-0.2,7,18522947,17.5
Panthers ,CAR,NYJ,DST,3600,7.9,-0.3,0.5,18523828,13
Deebo Samuel,SF,DET,WR,5900,14.3,-0.4,2.8,18522889,22.1
Austin Ekeler,LAC,WAS,RB,7000,16.3,-0.5,9,18522509,21.4
Ja'Marr Chase,CIN,MIN,WR,4800,12,-0.6,5.1,18522931,17.4
Courtland Sutton,DEN,NYG,WR,5200,12.7,-0.6,0.8,18522911,18.5
Clyde Edwards-Helaire,KC,CLE,RB,6600,15.4,-0.6,5.2,18522515,21.7
Kirk Cousins,MIN,CIN,QB,6300,18.9,-0.6,0.5,18522412,24.7
Dyami Brown,WAS,LAC,WR,3000,8.3,-0.6,3,18523253,12.5
Melvin Gordon III,DEN,NYG,RB,5300,12.8,-0.7,0.9,18522539,18.9
Jameis Winston,NO,GB,QB,5200,15.5,-0.7,2.5,18522425,25.7
Colts ,IND,SEA,DST,2300,4.9,-0.7,3.3,18523843,8.8
Brandin Cooks,HOU,JAX,WR,5300,12.7,-0.8,6.2,18522907,17.9
Eagles ,PHI,ATL,DST,2600,5.4,-0.8,1.3,18523839,9.5
Chase Edmonds,ARI,TEN,RB,4600,11.2,-0.9,7.4,18522561,16.2
Tyler Conklin,MIN,CIN,TE,2900,7.9,-0.9,3.3,18523543,12.4
Damien Harris,NE,MIA,RB,5200,12.4,-0.9,4.7,18522541,17.8
Raheem Mostert,SF,DET,RB,5800,13.6,-0.9,4.4,18522531,20.5
Adam Humphries,WAS,LAC,WR,3000,8.1,-0.9,1,18523251,12.1
Amon-Ra St. Brown,DET,SF,WR,3000,7.9,-1,2.2,18523381,10.9
Justin Herbert,LAC,WAS,QB,6700,19.7,-1,1,18522409,27.2
Brandon Aiyuk,SF,DET,WR,5700,13.3,-1,7.1,18522895,19.9
Julio Jones,TEN,ARI,WR,6800,15.5,-1,7,18522873,23.6
Logan Thomas,WAS,LAC,TE,4600,11.1,-1,4.2,18523493,15.4
Chiefs ,KC,CLE,DST,3000,6,-1,0.5,18523834,10.4
Vikings ,MIN,CIN,DST,3000,6,-1,0.5,18523835,10.4
Noah Fant,DEN,NYG,TE,4300,10.4,-1.1,3.8,18523499,15.4
Jared Goff,DET,SF,QB,5100,14.8,-1.1,0.7,18522427,19
Mecole Hardman,KC,CLE,WR,4800,11.4,-1.1,2.5,18522929,18.5
Adam Thielen,MIN,CIN,WR,7000,15.7,-1.1,1.5,18522869,23
Jimmy Garoppolo,SF,DET,QB,5500,16,-1.1,2.5,18522420,18.7
Cardinals ,ARI,TEN,DST,2100,4.1,-1.1,1.1,18523848,7.8
Javonte Williams,DEN,NYG,RB,4000,9.7,-1.2,2.2,18522603,15.3
Jalen Reagor,PHI,ATL,WR,3700,9.2,-1.2,0.5,18522991,13.3
Jarvis Landry,CLE,KC,WR,6000,13.6,-1.3,0.6,18522887,19.3
James Robinson,JAX,HOU,RB,6400,14.4,-1.3,13.6,18522519,21
Myles Gaskin,MIA,NE,RB,6000,13.5,-1.3,0.8,18522525,17.9
Jakobi Meyers,NE,MIA,WR,5100,11.8,-1.3,2,18522917,17.9
Cole Beasley,BUF,PIT,WR,4400,10.4,-1.4,4.6,18522951,16.1
