Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
CeeDee Lamb,DAL,LAC,WR,6400,19.6,3.9,19.4,19184506,29.4
Justin Herbert,LAC,DAL,QB,6700,24.4,3.7,17.4,19183997,33.3
Cooper Kupp,LA,IND,WR,6000,18.6,3.7,24,19184518,27.3
Amari Cooper,DAL,LAC,WR,6800,20,3.6,18.2,19184496,30.3
Dak Prescott,DAL,LAC,QB,6800,24.3,3.3,13.8,19183996,34.9
Damien Harris,NE,NYJ,RB,5400,16.8,3.1,18.8,19184132,24
Josh Allen,BUF,MIA,QB,7200,25.2,3,12.7,19183994,37.5
Alvin Kamara,NO,CAR,RB,8800,23.4,3,13.5,19184094,32
Najee Harris,PIT,LV,RB,6300,18.5,3,25.1,19184110,26.2
Tom Brady,TB,ATL,QB,6900,24.3,3,11.8,19183995,35
Keenan Allen,LAC,DAL,WR,7000,19.6,2.7,19.4,19184492,28.8
Chris Carson,SEA,TEN,RB,6100,17.7,2.6,21.3,19184114,25
Christian McCaffrey,CAR,NO,RB,9900,25,2.4,4.3,19184090,32.6
Teddy Bridgewater,DEN,JAX,QB,5400,18.9,2.2,3.7,19184012,24.6
Dalvin Cook,MIN,ARI,RB,9100,23.2,2.2,11.5,19184092,31
Derek Carr,LV,PIT,QB,5300,18.5,2.1,1.4,19184014,25.6
Ben Roethlisberger,PIT,LV,QB,5900,20.3,2.1,2.5,19184006,26.6
Chris Godwin,TB,ATL,WR,6600,17.9,1.8,15.4,19184500,28.3
Nick Chubb,CLE,HOU,RB,7800,20.1,1.7,11,19184098,29.9
Noah Fant,DEN,JAX,TE,4200,12.6,1.3,13.6,19185158,19.1
Darrell Henderson Jr.,LA,IND,RB,5700,15.6,1.3,9.1,19184126,22.2
Tyler Lockett,SEA,TEN,WR,7200,18.5,1.3,7.6,19184488,28.8
A.J. Brown,TEN,SEA,WR,6900,17.9,1.3,9.6,19184494,27
Joe Mixon,CIN,CHI,RB,7000,18.1,1.2,12.1,19184104,24.6
Ja'Marr Chase,CIN,CHI,WR,5000,14.1,1.2,12.2,19184554,20.5
Diontae Johnson,PIT,LV,WR,6400,16.9,1.2,7,19184504,24.2
Russell Wilson,SEA,TEN,QB,7500,24.4,1.2,7.1,19183993,34.4
Cole Beasley,BUF,MIA,WR,4600,13.2,1.1,10,19184576,19.9
Tyler Higbee,LA,IND,TE,4100,12.2,1.1,17.6,19185160,18.4
Calvin Ridley,ATL,TB,WR,7500,18.9,1,7.9,19184484,26.7
Jared Cook,LAC,DAL,TE,3900,11.8,1,11.1,19185164,18.7
Tua Tagovailoa,MIA,BUF,QB,5500,18.1,1,1.7,19184010,27
Jalen Hurts,PHI,SF,QB,6500,21.1,1,7.9,19183999,30.1
Stefon Diggs,BUF,MIA,WR,7700,19.1,0.9,15,19184480,27.9
Allen Robinson II,CHI,CIN,WR,6200,16.2,0.9,10.5,19184512,23.2
Ezekiel Elliott,DAL,LAC,RB,6200,16.2,0.9,20.6,19184112,23
