"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"CeeDee Lamb","DAL","LAC","WR","6400","19.7","4.0","19.6","19184506","29.3"
"Cooper Kupp","LA","IND","WR","6000","18.8","4.0","24.9","19184518","27.8"
"Amari Cooper","DAL","LAC","WR","6800","20.1","3.6","20.1","19184496","30.2"
"Justin Herbert","LAC","DAL","QB","6700","24.3","3.6","15.1","19183997","33.3"
"Dak Prescott","DAL","LAC","QB","6800","24.4","3.4","14.1","19183996","34.8"
"Chris Carson","SEA","TEN","RB","6100","18.2","3.1","27.2","19184114","25.9"
"Alvin Kamara","NO","CAR","RB","8800","23.4","3.0","13.7","19184094","31.8"
"Najee Harris","PIT","LV","RB","6300","18.5","3.0","25.9","19184110","26.1"
"Tom Brady","TB","ATL","QB","6900","24.3","3.0","10.8","19183995","34.8"
"Josh Allen","BUF","MIA","QB","7200","24.8","2.6","13.3","19183994","36.9"
"Christian McCaffrey","CAR","NO","RB","9900","25.2","2.6","6.8","19184090","32.8"
"Teddy Bridgewater","DEN","JAX","QB","5400","19.3","2.5","4.2","19184012","25.4"
"Keenan Allen","LAC","DAL","WR","7000","19.4","2.5","17.9","19184492","28.6"
"Dalvin Cook","MIN","ARI","RB","9100","23.2","2.2","12.0","19184092","31.2"
"Ben Roethlisberger","PIT","LV","QB","5900","20.4","2.1","2.7","19184006","26.5"
"Damien Harris","NE","NYJ","RB","5400","15.7","2.0","18.0","19184132","22.8"
"Derek Carr","LV","PIT","QB","5300","18.3","1.8","1.4","19184014","25.0"
"Chris Godwin","TB","ATL","WR","6600","17.9","1.8","15.9","19184500","28.2"
"Nick Chubb","CLE","HOU","RB","7800","20.1","1.7","11.4","19184098","29.9"
"Russell Wilson","SEA","TEN","QB","7500","24.9","1.7","5.7","19183993","35.3"
"Noah Fant","DEN","JAX","TE","4200","12.9","1.5","17.0","19185158","19.5"
"Darrell Henderson Jr.","LA","IND","RB","5700","15.8","1.5","12.7","19184126","22.5"
"Tyler Lockett","SEA","TEN","WR","7200","18.8","1.5","6.1","19184488","29.4"
"Joe Mixon","CIN","CHI","RB","7000","18.1","1.2","11.1","19184104","24.5"
"Ja'Marr Chase","CIN","CHI","WR","5000","14.1","1.2","16.2","19184554","20.4"
"Tyler Higbee","LA","IND","TE","4100","12.4","1.2","21.7","19185160","18.7"
"Diontae Johnson","PIT","LV","WR","6400","16.9","1.2","7.9","19184504","24.2"
"Allen Robinson II","CHI","CIN","WR","6200","16.4","1.1","12.6","19184512","23.4"
"A.J. Brown","TEN","SEA","WR","6900","17.8","1.1","11.9","19184494","26.8"
"Marvin Jones Jr.","JAX","DEN","WR","4700","13.3","1.0","4.8","19184572","18.3"
"Austin Ekeler","LAC","DAL","RB","7300","18.4","1.0","8.6","19184100","26.6"
"Cole Beasley","BUF","MIA","WR","4600","13.0","0.9","12.8","19184576","19.7"
"Ezekiel Elliott","DAL","LAC","RB","6200","16.2","0.9","18.8","19184112","22.8"
"Jared Cook","LAC","DAL","TE","3900","11.6","0.9","13.6","19185164","18.7"
"Saints ","NO","CAR","DST","3100","8.0","0.9","12.8","19185509","13.2"
"Calvin Ridley","ATL","TB","WR","7500","18.7","0.8","9.3","19184484","26.3"
"Jalen Hurts","PHI","SF","QB","6500","20.9","0.8","8.9","19183999","30.0"
"DK Metcalf","SEA","TEN","WR","7600","18.8","0.8","4.6","19184482","28.7"
"Stefon Diggs","BUF","MIA","WR","7700","18.8","0.6","12.4","19184480","27.6"
"David Montgomery","CHI","CIN","RB","6100","15.7","0.6","14.1","19184116","22.3"
"Matthew Stafford","LA","IND","QB","6400","20.4","0.6","3.7","19184000","29.4"
"Jets ","NYJ","NE","DST","2200","6.0","0.6","16.8","19185523","10.4"
"Javonte Williams","DEN","JAX","RB","4400","12.3","0.5","5.7","19184182","18.7"
"Robert Woods","LA","IND","WR","5700","14.7","0.5","12.7","19184530","22.4"
"Mike Williams","LAC","DAL","WR","6100","15.4","0.4","2.9","19184514","24.3"
"JuJu Smith-Schuster","PIT","LV","WR","5700","14.7","0.4","4.7","19184528","21.2"
"Emmanuel Sanders","BUF","MIA","WR","4000","11.3","0.3","9.3","19184598","17.1"
"Sam Darnold","CAR","NO","QB","5200","16.5","0.3","1.4","19184016","24.1"
"Andy Dalton","CHI","CIN","QB","5200","16.5","0.3","0.5","19184017","22.4"
"Baker Mayfield","CLE","HOU","QB","6000","18.8","0.2","1.6","19184004","28.0"
"Darren Waller","LV","PIT","TE","7600","18.3","0.2","3.3","19185144","25.7"
"Jakobi Meyers","NE","NYJ","WR","5100","13.2","0.1","2.3","19184550","20.1"
"Antonio Brown","TB","ATL","WR","6000","15.0","0.1","5.0","19184520","23.6"
"Devin Singletary","BUF","MIA","RB","4900","12.7","0.0","7.5","19184148","17.3"
"Mike Evans","TB","ATL","WR","6100","15.0","0.0","6.3","19184516","24.0"
"Derrick Henry","TEN","SEA","RB","8300","19.5","0.0","1.9","19184096","25.8"
"Patriots ","NE","NYJ","DST","3700","8.4","0.0","4.0","19185505","13.7"
"Tyler Boyd","CIN","CHI","WR","4700","12.2","-0.1","9.8","19184570","17.6"
"Tee Higgins","CIN","CHI","WR","5400","13.6","-0.1","9.4","19184542","19.6"
"Mike Davis","ATL","TB","RB","5500","13.7","-0.2","9.5","19184130","17.9"
"Marquez Callaway","NO","CAR","WR","4200","11.1","-0.2","5.7","19184588","16.2"
"Deebo Samuel","SF","PHI","WR","6700","16.1","-0.2","6.1","19184498","24.9"
"George Kittle","SF","PHI","TE","6400","15.5","-0.2","8.4","19185146","24.2"
"Julio Jones","TEN","SEA","WR","6300","15.3","-0.2","3.2","19184510","22.8"
"Kyler Murray","ARI","MIN","QB","8200","24.9","-0.3","6.5","19183992","34.7"
